#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
78.8%	394000	-904673.018300625	299.6432161498049	302
79.0%	395000	-905137.7543537198	301.23769613613814	302
79.2%	396000	-906101.2538514123	298.27199699278475	302
79.4%	397000	-905455.1420622929	298.58880835117554	302
79.6%	398000	-905211.49877817	300.8330465607748	302
79.8%	399000	-904450.6641840157	298.351120703414	303
80.0%	400000	-905331.7955038268	300.97724377632414	302
80.2%	401000	-905661.3675758853	301.424153803353	302
80.4%	402000	-907087.3829748346	299.48112359236353	302
80.6%	403000	-905275.762477187	299.8851047075279	302
80.8%	404000	-906676.8746439023	298.795658543916	302
81.0%	405000	-905730.0317475041	300.19776165637467	302
81.2%	406000	-905062.899828997	299.43307816162286	302
81.4%	407000	-904438.9201291408	300.2378592267604	302
81.6%	408000	-905312.2241058205	301.26549612653673	302
81.8%	409000	-904282.6484428528	300.637978771577	302
82.0%	410000	-905561.3740429343	302.61795565770433	302
82.2%	411000	-906194.8300999464	302.83794383485423	302
82.4%	412000	-905297.8901342978	299.7764477734784	302
82.6%	413000	-906429.3540250869	300.30335628556816	302
82.8%	414000	-907178.790159862	301.4087540285925	302
83.0%	415000	-906467.0734034497	299.68288382067664	302
83.2%	416000	-905719.3029760593	301.3495261090852	302
83.4%	417000	-905224.0265957764	300.0682461508989	302
83.6%	418000	-906224.0733998315	298.7876353339224	303
83.8%	419000	-905264.7709577661	299.34189164337056	303
84.0%	420000	-906987.9353010668	301.0870506304302	302
84.2%	421000	-906187.0023593763	298.4654642017212	302
84.4%	422000	-906048.8381975782	299.22452272614044	302
84.6%	423000	-906996.1070247772	297.53059209695584	302
84.8%	424000	-905178.1442135819	298.37389058745845	302
85.0%	425000	-904466.2234290526	300.87192439466475	302
85.2%	426000	-904724.2814755333	303.2692253146559	302
85.4%	427000	-905066.2116697738	302.8472369399447	302
85.6%	428000	-904408.8076473363	301.6614323817248	302
85.8%	429000	-905206.0625027637	299.3633113916437	303
86.0%	430000	-904810.6593130911	298.5974948127546	302
86.2%	431000	-906379.7001693132	299.587588029691	302
86.4%	432000	-905601.7138157263	300.9612640580419	302
86.6%	433000	-906074.0849561943	299.44212459007105	302
86.8%	434000	-905086.3280261504	300.19864247238536	302
87.0%	435000	-907852.6918063671	301.0169138123081	302
87.2%	436000	-907348.2897220799	302.6422910856834	302
87.4%	437000	-905941.1364473039	302.4242505151114	302
87.6%	438000	-906274.0543931434	301.03631407897507	302
87.8%	439000	-906420.3983693765	302.40856679219354	302
88.0%	440000	-905987.3798150299	302.6474403121859	302
88.2%	441000	-904557.8337742849	301.1680247920618	302
88.4%	442000	-906818.262526568	299.8642394520481	302
88.6%	443000	-907035.7261899887	300.15292218144015	302
88.8%	444000	-905773.8656276772	301.8528107316634	302
89.0%	445000	-905448.4953790219	299.9805410845592	302
89.2%	446000	-905211.6482323636	299.1744849696715	302
89.4%	447000	-906065.9640315976	299.4100698598064	302
89.6%	448000	-904801.6717927842	301.40281919827305	302
89.8%	449000	-905642.3759528641	301.0872568855539	302
90.0%	450000	-904539.74411848	299.14588773314165	302
90.2%	451000	-907331.9940920076	300.3861264407934	302
90.4%	452000	-905654.4714089963	299.4017940900052	302
