#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
3.0%	1480000	-929689.9028812526	299.1228192612176	475
3.0%	1490000	-929413.6944015571	299.2558202405222	474
3.0%	1500000	-930930.9497684464	298.4448525062853	474
3.0%	1510000	-931953.2462667865	301.57609636743166	475
3.0%	1520000	-931012.5618903567	299.1706074605022	475
3.1%	1530000	-931722.9504504581	299.55815146807373	474
3.1%	1540000	-929351.8560652118	301.461254422948	474
3.1%	1550000	-930867.1884062383	300.52008819381086	475
3.1%	1560000	-930298.4550923579	300.8564042080762	474
3.1%	1570000	-932451.1707220129	298.5589566951254	474
3.2%	1580000	-930090.5912153171	301.3455807894819	475
3.2%	1590000	-929691.38842104	299.52716339030957	474
3.2%	1600000	-929581.5776177249	301.7776539085441	474
3.2%	1610000	-929724.7613112535	299.87915902929575	474
3.2%	1620000	-929554.5550565235	300.3697183762954	475
3.3%	1630000	-928816.052103587	302.26332584787616	475
3.3%	1640000	-930045.0451810751	301.1333654022916	475
3.3%	1650000	-932053.5520443381	301.7433200625307	475
3.3%	1660000	-930643.9776592483	299.5838422327075	474
3.3%	1670000	-930247.0454601119	299.2646369918178	475
3.4%	1680000	-930855.4619968166	299.20620281689753	475
3.4%	1690000	-930918.6945798681	300.5781636457426	474
3.4%	1700000	-931008.2090706532	301.318109404745	475
3.4%	1710000	-929401.8770043184	299.48194312515216	475
3.4%	1720000	-930846.7147818455	302.3297642761439	474
3.5%	1730000	-929617.2709565205	302.4939130605361	474
3.5%	1740000	-929936.9966766466	299.2609622778863	474
3.5%	1750000	-930633.1422900157	299.7331025031601	474
3.5%	1760000	-930138.8509211405	300.0824629221215	474
3.5%	1770000	-929961.9268199513	301.8460623807566	474
3.6%	1780000	-930136.533528626	303.20706654851716	474
3.6%	1790000	-930614.1290269555	300.8827541701892	474
3.6%	1800000	-929737.2974457867	300.261181351052	474
3.6%	1810000	-931911.9481517621	300.3323518456315	474
3.6%	1820000	-930833.2274532886	299.4899553559557	474
3.7%	1830000	-930338.8869634867	300.8928353678173	474
3.7%	1840000	-930642.5440483601	300.25496696086776	474
3.7%	1850000	-929457.7643681732	298.93221612253876	474
3.7%	1860000	-930560.7950454089	299.9743171699927	474
3.7%	1870000	-930814.0776833822	298.5820866646824	474
3.8%	1880000	-932189.3949535862	300.5593035736745	474
3.8%	1890000	-930251.9691642453	303.2676043102747	474
3.8%	1900000	-930132.7371006547	299.6727053790391	474
3.8%	1910000	-930479.7449826985	300.3565691967851	474
3.8%	1920000	-930828.4148035403	301.62700089148325	474
3.9%	1930000	-931213.554554671	301.2432442793968	474
3.9%	1940000	-929442.705726333	301.47902201363104	474
3.9%	1950000	-929932.0148283583	300.36088955262386	474
3.9%	1960000	-930258.3713128436	301.87673741218765	474
3.9%	1970000	-929587.060996402	300.60095128010056	474
4.0%	1980000	-930119.3477534503	300.8415577926688	474
4.0%	1990000	-930815.571485573	300.3244477850153	474
4.0%	2000000	-930957.2310138727	301.72639980290904	474
4.0%	2010000	-931083.2914491952	299.442556796864	474
4.0%	2020000	-929972.3786036237	297.03614822412385	474
4.1%	2030000	-930710.3241231316	299.6896038262745	474
4.1%	2040000	-931066.9059455264	299.3500698955708	474
4.1%	2050000	-930892.3936296888	300.9031702638231	474
4.1%	2060000	-931393.5030862051	301.475741324795	474
4.1%	2070000	-930598.861304258	299.0343963369512	474
4.2%	2080000	-931687.3163890634	300.2598292969576	474
4.2%	2090000	-930928.852897618	300.1150498798763	474
4.2%	2100000	-931080.5977049186	301.22199507205926	474
4.2%	2110000	-932119.3766138754	298.89765811209134	474
4.2%	2120000	-930469.6579229352	301.17529608837896	474
4.3%	2130000	-930478.4052647729	300.2363476603029	474
