#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
44.4%	222000	-1327559.970188504	301.2138790526532	225
44.6%	223000	-1325118.1603737902	301.46078074402817	225
44.8%	224000	-1326130.3200318953	300.25612556436465	225
45.0%	225000	-1327080.9955194555	299.62568838723246	225
45.2%	226000	-1327933.8326078188	299.1794780907615	225
45.4%	227000	-1328052.9185148496	300.81885715066073	225
45.6%	228000	-1326405.6197259566	299.1249255629962	225
45.8%	229000	-1327915.9061858421	299.7951079990967	225
46.0%	230000	-1326675.1895635026	301.2260275276434	225
46.2%	231000	-1327567.0855826698	298.6535117460331	225
46.4%	232000	-1326668.1422567908	300.10654362452635	225
46.6%	233000	-1326107.4848021306	299.7098032242653	225
46.8%	234000	-1327659.2084034737	301.06905136541707	225
47.0%	235000	-1326558.7547476366	298.89078083391865	225
47.2%	236000	-1327106.6730876202	300.23652387552016	225
47.4%	237000	-1327556.3031062186	300.1890552023469	225
47.6%	238000	-1326226.6927198172	301.4893925281158	225
47.8%	239000	-1327812.8997629238	300.86876971569325	225
48.0%	240000	-1327957.3301378852	301.8384767869713	225
48.2%	241000	-1325406.3500697128	298.67059253646323	225
48.4%	242000	-1324851.1766596297	299.2690160302091	225
48.6%	243000	-1326616.4468626091	301.09025279625683	225
48.8%	244000	-1325922.173829902	299.8197448266747	225
49.0%	245000	-1327439.757146039	299.947455198232	225
49.2%	246000	-1327797.028706734	299.9339917923012	225
49.4%	247000	-1327733.5899251737	300.00028684081377	225
49.6%	248000	-1329259.9856495643	300.52272158999546	225
49.8%	249000	-1328827.1379305487	299.330629037659	225
50.0%	250000	-1330049.7212867802	301.33441448700137	225
50.2%	251000	-1327083.586071371	301.810596169854	225
50.4%	252000	-1328026.1036572792	301.17220851867785	225
50.6%	253000	-1326728.6739059146	299.5575166959688	225
50.8%	254000	-1326513.2410620172	300.8517276225521	225
51.0%	255000	-1326577.0190558974	301.05301270711163	225
51.2%	256000	-1325996.9055625116	299.4197022033597	225
51.4%	257000	-1326973.135559287	300.86281674280883	225
51.6%	258000	-1326697.7867010497	299.9438587445985	225
51.8%	259000	-1328939.3323447835	300.7092324543837	225
52.0%	260000	-1328182.516149546	299.59693092695363	225
52.2%	261000	-1327126.2685260782	300.27924560321316	225
52.4%	262000	-1328884.629308544	299.8624688882618	225
52.6%	263000	-1327179.364948798	299.6318367412189	225
52.8%	264000	-1326040.6625272734	300.392879902138	225
53.0%	265000	-1328007.8455871986	300.786091301472	225
53.2%	266000	-1325365.374136445	300.9822559271653	225
53.4%	267000	-1326926.640337837	301.9246242153771	225
53.6%	268000	-1327032.3992026905	298.13474547527295	225
53.8%	269000	-1326382.461426586	299.9953639325098	225
54.0%	270000	-1326290.7300021248	300.4254839374583	225
54.2%	271000	-1326916.423071784	300.90798363541535	225
54.4%	272000	-1328717.6257444164	300.57781935916233	225
54.6%	273000	-1326002.2791122952	298.27067542642084	225
54.8%	274000	-1326970.9174689678	298.4275961099357	225
55.0%	275000	-1326220.6914316397	300.5276975318993	225
55.2%	276000	-1326488.9569054386	300.4769544423282	225
55.4%	277000	-1327876.9617578518	300.6950269684826	225
55.6%	278000	-1327689.0183744961	299.98681253910024	225
55.8%	279000	-1326430.0842124727	302.35656510659925	225
56.0%	280000	-1327899.2261662558	300.635734804644	225
56.2%	281000	-1328324.8564165263	299.61209331880065	225
56.4%	282000	-1326122.9986083126	299.0013173447384	225
56.6%	283000	-1325443.260779648	300.4619601823536	225
56.8%	284000	-1326692.9380307617	300.051509135022	225
57.0%	285000	-1326942.099259138	301.0172526792973	225
57.2%	286000	-1326759.3550686957	301.1696091563518	225
57.4%	287000	-1326157.857308804	301.00439353487604	225
57.6%	288000	-1326587.9300587801	298.6692256627708	225
57.8%	289000	-1327773.5930670118	300.8688583674567	225
58.0%	290000	-1326061.9064890137	299.43444343099867	225
58.2%	291000	-1327600.3086149795	299.9901216213196	225
58.4%	292000	-1328547.3169634957	300.1595065114914	225
58.6%	293000	-1325053.4139529373	297.95393461840746	225
58.8%	294000	-1328863.007562505	298.6065748508279	225
59.0%	295000	-1326818.1425624574	299.93555675873415	225
59.2%	296000	-1327146.876233288	300.4696099175719	225
59.4%	297000	-1328197.4242341425	301.38623378608156	225
59.6%	298000	-1327198.4128823718	300.4180483782055	225
59.8%	299000	-1326645.2890383983	299.80288036019346	225
60.0%	300000	-1326018.4077847246	299.2284569008946	225
60.2%	301000	-1325214.538358773	299.6553242329581	225
60.4%	302000	-1325427.943532045	299.68647087178186	225
60.6%	303000	-1326116.7876519775	297.9537863058469	225
60.8%	304000	-1326911.2010419695	300.3523683042622	225
61.0%	305000	-1325896.5432234071	300.19467849421187	225
61.2%	306000	-1327468.506874824	299.97025980579065	225
61.4%	307000	-1328604.7585838214	300.1215352146065	225
61.6%	308000	-1326820.7092765085	299.5148595552018	225
61.8%	309000	-1327668.8513949644	300.07539375398494	225
62.0%	310000	-1327448.71301582	300.41185073950686	225
62.2%	311000	-1325779.9360542716	300.57894929856707	225
62.4%	312000	-1327004.8533046655	299.97789778876256	225
62.6%	313000	-1326014.070875775	300.5190959488229	225
62.8%	314000	-1326264.2712472947	299.98826485359854	225
63.0%	315000	-1327349.7510081073	297.8938561516882	225
63.2%	316000	-1326303.9730156465	300.2271248026212	225
63.4%	317000	-1325937.9404555354	300.4345684978796	225
63.6%	318000	-1326831.2222748008	299.1656027009463	225
