#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
2.3%	231000	-885753.1370864222	300.46197835542006	508
2.3%	232000	-885356.4103852711	301.04142482384964	508
2.3%	233000	-886940.2317730421	300.592781094165	509
2.3%	234000	-885950.760606999	300.1718940718047	509
2.4%	235000	-884541.5638179057	300.46138204199406	509
2.4%	236000	-884502.0353546655	299.3003527816867	509
2.4%	237000	-885848.4643143853	301.5539679679189	509
2.4%	238000	-884005.2113472037	299.87200787496596	510
2.4%	239000	-885552.6444765986	299.9218201752681	510
2.4%	240000	-885747.6200369122	301.8132983853405	508
2.4%	241000	-884039.7288458198	299.8545528671249	508
2.4%	242000	-885401.7477505263	301.19002196485314	508
2.4%	243000	-884404.6157507827	300.3428668604008	509
2.4%	244000	-884380.4698415399	299.43625208899925	509
2.5%	245000	-885166.731519362	299.12188772012007	509
2.5%	246000	-886016.5107913199	301.22593051217757	509
2.5%	247000	-886045.0658829231	300.1508984555458	509
2.5%	248000	-884000.1714298804	298.3408161950167	509
2.5%	249000	-883580.3694266458	301.0543161563821	510
2.5%	250000	-884026.1410171017	298.9813379903058	508
2.5%	251000	-884898.9598349296	300.25559794946327	508
2.5%	252000	-885053.1547342851	297.11574378991355	508
2.5%	253000	-884994.60365855	299.50380814608997	508
2.5%	254000	-885328.0782775688	300.7534859475978	509
2.5%	255000	-884953.9576858128	300.5354340560443	509
2.6%	256000	-886044.7154176142	300.449343154165	509
2.6%	257000	-884949.170587487	299.7270300904042	509
2.6%	258000	-885817.8045038823	298.5238193807961	509
2.6%	259000	-885552.6254274016	297.75622638396	509
2.6%	260000	-883741.00756258	301.89821656923243	508
2.6%	261000	-885435.1471735304	297.92220628391414	508
2.6%	262000	-885988.8335331259	302.2078241253176	508
2.6%	263000	-885372.2513031173	299.8667408032482	508
2.6%	264000	-883885.5693634595	299.9862735503607	509
2.6%	265000	-884287.8949658894	300.63515262717016	509
2.7%	266000	-885687.4789802535	299.02353714829195	509
2.7%	267000	-885461.7101289188	298.5474627623934	509
2.7%	268000	-884503.0851187743	300.2127688433302	509
2.7%	269000	-882943.6763788816	300.5101916094331	509
2.7%	270000	-884706.8765983633	300.43644965573145	508
2.7%	271000	-884314.3937186776	300.47369826662504	508
2.7%	272000	-884736.1960286819	297.6755880255626	508
2.7%	273000	-883125.4023431791	298.84905260114675	508
2.7%	274000	-884855.679764397	301.7646787136429	508
2.8%	275000	-884767.9766168911	299.26429136752614	509
2.8%	276000	-884490.8346111123	300.67993785309415	509
2.8%	277000	-884096.1743263314	302.35687508237055	509
2.8%	278000	-884298.6969995205	302.4484258038254	509
2.8%	279000	-883995.7644382799	299.24091341509535	509
2.8%	280000	-883959.9087532838	300.84456356604375	508
2.8%	281000	-884714.7185000731	301.39801822729527	508
2.8%	282000	-883741.0678619957	300.67620412763154	508
2.8%	283000	-885120.0560289687	299.8107838285086	509
2.8%	284000	-884193.2084956774	299.7322755373373	509
2.9%	285000	-884198.3186168605	299.40149585392345	509
2.9%	286000	-883129.2576509807	300.4905940029373	509
2.9%	287000	-883224.6300150659	299.2782039714563	509
2.9%	288000	-883462.1433315505	298.53164066572896	509
2.9%	289000	-884267.7946017887	300.8895680635542	509
2.9%	290000	-885692.5621999158	299.48762415959305	508
2.9%	291000	-885384.3950606156	300.72382536188536	508
2.9%	292000	-884184.3350812239	301.0504502488823	508
2.9%	293000	-883557.6557706757	303.82802214957826	508
2.9%	294000	-882484.5948451981	299.39019587206263	509
3.0%	295000	-884840.1972078257	301.0591487526471	509
3.0%	296000	-883003.3849546169	299.91623743695845	509
3.0%	297000	-882922.1950175269	301.3519916330522	509
3.0%	298000	-882721.8323724694	301.64373229620116	509
3.0%	299000	-883482.0625173412	302.4465244426205	509
3.0%	300000	-883520.8739550607	298.6271666279049	508
3.0%	301000	-883641.2454420994	299.38105638144555	508
3.0%	302000	-884804.4669842082	298.55226128655175	508
3.0%	303000	-885043.6320394124	300.5961993979051	508
3.0%	304000	-883953.2144251317	303.28197475771293	508
3.0%	305000	-886174.4787573763	300.4233443892968	508
3.1%	306000	-884433.4051005975	301.12151920852193	509
3.1%	307000	-882472.9400774492	298.86319788179554	509
3.1%	308000	-882977.1977285407	302.0754840821099	509
3.1%	309000	-884175.5401743059	300.3117766177905	509
3.1%	310000	-883335.7933664066	298.97358098839413	508
3.1%	311000	-884339.9339659489	299.66037161958945	508
3.1%	312000	-883650.8954591695	301.67234626484145	508
3.1%	313000	-885164.4092932432	299.27899051151286	508
3.1%	314000	-884787.6519129802	300.6080566519272	508
3.1%	315000	-885443.3744684733	298.48390611796987	508
3.2%	316000	-884552.0538435709	297.3608735477112	509
3.2%	317000	-885614.5253196033	300.5323566916613	509
3.2%	318000	-885515.1259066751	301.25523678456614	509
3.2%	319000	-883920.7449232917	300.3906302553106	509
3.2%	320000	-885323.9783568019	300.27991096714646	508
3.2%	321000	-885985.6527437563	298.53976230311713	508
3.2%	322000	-883136.2547315857	299.9331021444066	508
3.2%	323000	-883515.3738910304	300.79126577085935	508
3.2%	324000	-885663.9227002715	301.82780694451947	508
3.2%	325000	-883759.0179464961	301.3032262570631	508
3.3%	326000	-884316.9468035549	299.5372253412941	508
3.3%	327000	-883599.6618717597	298.92172049827826	509
3.3%	328000	-886187.1368740327	301.86887432238376	509
3.3%	329000	-885409.0485102171	300.05529659270115	509
3.3%	330000	-885718.6621818994	302.0261552082326	508
3.3%	331000	-884491.4808594408	299.9268204033744	508
3.3%	332000	-885737.464747827	300.2835410278004	508
3.3%	333000	-884580.6391936843	302.44586906224794	508
3.3%	334000	-884048.9635588522	299.3440253302524	508
3.4%	335000	-885463.7656534519	298.982145320182	509
3.4%	336000	-883285.7097836728	300.2245042484276	509
3.4%	337000	-882995.216832458	301.0184927140595	509
3.4%	338000	-884649.7702651517	299.30697425625306	509
3.4%	339000	-883810.1829720582	300.40441797560044	509
3.4%	340000	-882842.1793487645	299.8389378274702	508
3.4%	341000	-884527.5188585203	300.5427197625871	508
3.4%	342000	-884306.8911144929	302.6603301245313	508
3.4%	343000	-885941.7386129196	300.9703708996282	508
3.4%	344000	-883886.3090546662	298.97675051188867	508
3.5%	345000	-883437.3285052814	300.27582541189213	508
3.5%	346000	-884876.8326131948	300.3247905974202	508
3.5%	347000	-885635.0461374996	301.66370637167074	509
3.5%	348000	-885288.7871017433	299.0401100899119	509
3.5%	349000	-883755.3781867451	300.0003129106928	509
3.5%	350000	-884367.570701783	300.1214064095478	508
3.5%	351000	-885493.9982736018	300.2789957503663	508
3.5%	352000	-886013.6023354526	300.61357344338484	508
3.5%	353000	-885120.6744325021	299.3723439937974	508
3.5%	354000	-885208.7867534868	299.5773190320352	508
3.5%	355000	-884815.2928497982	300.7015199511577	508
3.6%	356000	-884576.9754543696	298.2227242047808	508
3.6%	357000	-883737.9167883624	299.5880837387902	508
3.6%	358000	-884651.7056735135	298.6948627273302	509
3.6%	359000	-885162.271515558	301.7481366583121	509
3.6%	360000	-883272.094288813	298.86182574683687	508
3.6%	361000	-884485.5344176632	301.63935967787484	508
3.6%	362000	-882443.0354856905	300.9104919718697	508
3.6%	363000	-884734.0307080429	300.35728146713456	508
3.6%	364000	-884169.430859209	298.19838919144684	508
3.6%	365000	-885071.8578115609	301.74868732372516	508
3.7%	366000	-885539.6290984121	298.86078158685785	508
3.7%	367000	-885431.5976440348	301.0134684148567	508
3.7%	368000	-884444.6384104025	299.70477752574595	508
3.7%	369000	-884833.8604699834	300.7458398712347	508
3.7%	370000	-883245.3784004967	299.46454199826644	507
3.7%	371000	-883218.5100540412	301.4046543933648	507
3.7%	372000	-882759.8685410921	300.16848438370096	507
3.7%	373000	-885430.301984129	302.0663378371006	508
3.7%	374000	-885148.9800158343	298.74839036800034	508
3.8%	375000	-885194.3277477976	301.9908413411571	508
3.8%	376000	-884044.0853183465	301.9000932338899	508
3.8%	377000	-884190.8846004554	299.2097442023674	508
3.8%	378000	-885005.6571986699	301.19188674705856	508
3.8%	379000	-883938.3358310517	300.9605665898254	508
3.8%	380000	-885114.5112572131	297.34631542384153	508
3.8%	381000	-884501.4440066367	298.7361197596757	508
3.8%	382000	-884973.3402561694	299.9194085893627	508
3.8%	383000	-884359.5090072826	301.4429983867596	508
3.8%	384000	-884672.6536467411	300.33617490233996	508
3.9%	385000	-885610.9795972398	298.94826997875725	508
3.9%	386000	-885575.4885360058	299.68739776612205	508
3.9%	387000	-885330.088610101	304.15888528352195	508
3.9%	388000	-884982.925979605	300.4459071926833	508
3.9%	389000	-884804.7979326271	300.040512802487	508
3.9%	390000	-884648.0198850753	301.32029545366504	507
3.9%	391000	-885320.0826834277	300.3932027001066	507
3.9%	392000	-886525.8729553712	302.60905546268174	508
3.9%	393000	-886150.5660331529	301.98916262232757	508
3.9%	394000	-884178.9135758956	298.94460292056397	508
4.0%	395000	-885049.6376046189	301.34417895917153	508
4.0%	396000	-885899.7074816972	299.98001956381785	508
4.0%	397000	-883410.9746463005	301.186539277674	508
4.0%	398000	-883990.1474055382	302.8096003250833	508
4.0%	399000	-884756.6729340553	299.70259798777437	508
4.0%	400000	-885786.228838318	298.0052431932253	507
4.0%	401000	-884593.8218107973	298.3006899147698	507
4.0%	402000	-887470.3810264352	300.23104099791897	508
4.0%	403000	-886016.2121519609	300.5852055383644	508
4.0%	404000	-885647.5946096191	301.70952074876743	508
4.0%	405000	-885345.7653503241	300.2342630585086	508
4.1%	406000	-885616.3819321068	297.0823481923707	508
4.1%	407000	-884299.4011692689	301.6364535679096	508
4.1%	408000	-884608.0943577928	299.8305764736965	508
4.1%	409000	-884406.1343941563	300.7299436077085	508
4.1%	410000	-884072.6004965245	299.9383973057218	507
4.1%	411000	-884086.4127571192	298.36773215229135	507
4.1%	412000	-885409.6523849675	297.9401687926803	508
4.1%	413000	-885373.4052235628	298.43524840012054	508
4.1%	414000	-885087.5979339653	300.0569844047344	508
4.2%	415000	-886775.9275621278	299.8853445840045	508
4.2%	416000	-885047.7055669539	298.3857486180626	508
4.2%	417000	-884264.1415123004	299.36576618089816	508
4.2%	418000	-886168.531752761	299.95769553636535	508
4.2%	419000	-885249.2858348461	299.1486752675809	508
4.2%	420000	-884745.0102070356	299.1427282549688	507
4.2%	421000	-885693.5014901725	300.41587082989736	507
4.2%	422000	-884650.3440663563	298.6942387996941	508
4.2%	423000	-884422.7803061898	299.78704003307297	508
4.2%	424000	-884140.6630435744	301.4667930389448	508
4.2%	425000	-884038.4450214249	299.34903244267	508
4.3%	426000	-885013.4712467934	300.52751152437935	508
4.3%	427000	-885426.6302047642	298.4211111290506	508
4.3%	428000	-884918.8889773777	300.5342007510464	508
4.3%	429000	-885828.4787881882	297.30201507615374	508
4.3%	430000	-886201.8207479571	301.0722353562554	508
4.3%	431000	-885748.97675619	301.155008880641	508
4.3%	432000	-884052.6770858406	299.6505512966264	508
4.3%	433000	-885457.1359298378	302.52300881605555	508
4.3%	434000	-885130.2920447295	301.68517351396724	508
4.3%	435000	-884048.6517711813	299.79185486810627	508
4.4%	436000	-883247.1715852134	302.0869332109813	508
4.4%	437000	-884174.9431671072	300.88543040489776	508
4.4%	438000	-884011.3404256203	298.24244191467443	508
4.4%	439000	-884504.847744497	299.7197449041289	508
4.4%	440000	-887406.7274225987	301.0091952735973	508
4.4%	441000	-886030.895849253	298.81957563370185	508
4.4%	442000	-885034.9116200535	299.6480534734187	508
